,level_0,index,full_sentence,cloze_probability,dataset,CoRT,CoRT_std,condition,target_word,random_word
71,71,826,Isaac ran to the water cooler and filled his cup,0.36,peele,4.8,0.44721359549995787,CoRT,cup,teach
72,72,968,Laura jumped up and shouted after burning her hand,0.56,peele,4.8,0.44721359549995787,CoRT,hand,price
73,73,1007,Marcus struggled to build a birdhouse even with the instructions,0.39,peele,4.8,0.44721359549995787,CoRT,instructions,bag
74,74,1140,"Once he heard the bad news, Mark's face became red",0.32,peele,4.8,0.44721359549995787,CoRT,red,find
75,75,1143,"Once the cake was unattended, the dog took a bite",0.92,peele,4.8,0.44721359549995787,CoRT,bite,duck
76,76,1651,The earthquake made the photos fall off the wall,0.68,peele,4.8,0.44721359549995787,CoRT,wall,leash
77,77,1738,The frightened children ran from the growling dog,0.76,peele,4.8,0.44721359549995787,CoRT,dog,tag
78,78,2046,The reckless driver drove too quickly around the corner,0.42,peele,4.2,0.44721359549995787,CoRT,corner,milk
79,79,2228,The waitress wiped the table with a damp cloth,0.76,peele,4.2,0.44721359549995787,CoRT,cloth,professor
80,80,2515,When he fled the stage the crowd began to boo,0.53,peele,4.8,0.44721359549995787,CoRT,boo,sour
81,81,188,"Always full of energy, Wilson never seemed to tire",0.51,peele,1.2,0.4472135954999579,non-CoRT,tire,duck
82,82,316,"Beth hasn't figure out the solution, but Martha has",0.72,peele,1.2,0.4472135954999579,non-CoRT,has,hot
83,83,374,Chocolate is made from the roasted cacao bean,0.84,peele,1.8,0.4472135954999579,non-CoRT,bean,cry
84,84,416,Dean dropped the cookies and had to make a fresh batch,0.95,peele,4.8,0.4472135954999579,CoRT,batch,bark
85,85,558,Experts could not give Amy the answers she wanted,0.58,peele,1.2,0.4472135954999579,non-CoRT,wanted,hate
86,86,700,Helen removed the paint from her face with a cloth,0.33,peele,4.8,0.4472135954999579,CoRT,cloth,large
87,87,744,His worst fear was that the spectators would boo,0.36,peele,1.2,0.4472135954999579,non-CoRT,boo,lettuce
88,88,937,Karen lost lots of money after losing a foolish bet,0.97,peele,1.8,0.4472135954999579,non-CoRT,bet,rank
89,89,947,Katie didn't know who the present was for,0.72,peele,1.2,0.4472135954999579,non-CoRT,for,soggy
90,90,1022,Mary missed Ellen's birthday party because she was sick,0.62,peele,1.8,0.4472135954999579,non-CoRT,sick,relax
91,91,1031,May thought her leg was taking too long to heal,0.9,peele,1.2,0.4472135954999579,non-CoRT,heal,gesture
92,92,1215,"Running low on cookies, the bakery needed a new batch",0.54,peele,1.8,0.4472135954999579,non-CoRT,batch,head
93,93,1222,Sally heard that our new teacher was impossible to please,0.48,peele,1.2,0.4472135954999579,non-CoRT,please,pack
94,94,1277,She loved ice cream when she was a tiny girl,0.54,peele,1.2,0.4472135954999579,non-CoRT,girl,run
95,95,1468,The boy cried when he hurt his knee after the fall,0.71,peele,4.8,0.4472135954999579,CoRT,fall,badge
96,96,1553,The color of the shirt's fabric was a beautiful blue,0.35,peele,1.2,0.4472135954999579,non-CoRT,blue,bun
97,97,1647,The driver was concerned about the heavy load,0.36,peele,1.2,0.4472135954999579,non-CoRT,load,girls
98,98,2083,The score of the championship tennis match was tied,0.59,peele,1.2,0.4472135954999579,non-CoRT,tied,late
99,99,2224,The villagers had never ventured out of the village,0.32,peele,1.2,0.4472135954999579,non-CoRT,village,howl
100,100,2284,Their water source on the farm was the old well,0.89,peele,1.2,0.4472135954999579,non-CoRT,well,weight
101,101,2304,They didn't agree with the concepts the school taught,0.48,peele,1.2,0.4472135954999579,non-CoRT,taught,milk
102,102,2320,They needed to add more honey to the tea,0.34,peele,1.8,0.4472135954999579,non-CoRT,tea,leash
103,103,2388,To get the garden started one can use seeds,0.32,peele,1.8,0.4472135954999579,non-CoRT,seeds,art
104,104,2427,"To stay fit, Jim participates in a basketball game",0.42,peele,4.2,0.4472135954999579,CoRT,game,white
105,105,2538,When she retired the CEO would live on a pension,0.38,peele,1.2,0.4472135954999579,non-CoRT,pension,crash
106,106,929,Juice spilled when the baby knocked over the cup,0.54,peele,4.8,0.44721359549995804,CoRT,cup,nut
107,107,1047,Mike exited the shower and quickly put on his robe,0.44,peele,4.8,0.44721359549995804,CoRT,robe,scam
108,108,2243,The woman applied concealer with a gentle touch,0.35,peele,4.8,0.44721359549995804,CoRT,touch,touch
109,109,506,"Ellen enjoys poetry, painting, and other forms of art",0.94,block_baldwin,1.2857142857142858,0.48795003647426655,non-CoRT,art,chick
110,110,658,He hoped his grumpy teen was just going through a  phase,0.77,block_baldwin,1.2857142857142858,0.4879500364742666,non-CoRT,phase,cement
111,111,1243,Several hours into his shift Lyle was ready for a break,0.78,block_baldwin,1.7142857142857142,0.4879500364742666,non-CoRT,break,will
112,112,1757,The girl knew a lot for her age,0.8,block_baldwin,1.2857142857142858,0.4879500364742666,non-CoRT,age,bet
113,113,2020,The princess was only permitted to marry a prince,0.9,block_baldwin,1.2857142857142858,0.4879500364742666,non-CoRT,prince,clean
114,114,1504,The candles smelled even better when they were lit,0.87,block_baldwin,1.7142857142857142,0.48795003647426666,non-CoRT,lit,seeds
115,115,107,"After saying goodbye, Tim gave his wife a quick kiss",0.84,peele,4.75,0.4999999999999999,CoRT,kiss,vague
116,116,622,Greg clutched his queasy stomach and began to vomit,0.47,peele,4.75,0.4999999999999999,CoRT,vomit,village
117,117,640,He blew out his cigarette smoke in a small puff,0.34,peele,4.75,0.4999999999999999,CoRT,puff,ignition
118,118,657,He heard a noise at midnight and grabbed his gun,0.67,peele,4.75,0.4999999999999999,CoRT,gun,merge
119,119,1029,Matt topped the nachos with cheddar cheese and shredded lettuce,0.38,peele,4.75,0.4999999999999999,CoRT,lettuce,oil
120,120,1242,Several girls fought over the store's last remaining dresses,0.33,peele,4.75,0.4999999999999999,CoRT,dresses,age
121,121,1505,The captain steered the ship and narrowly avoided the iceberg,0.34,peele,4.75,0.4999999999999999,CoRT,iceberg,big
122,122,1754,The girl got in trouble trying to pass a note,0.52,peele,4.25,0.4999999999999999,CoRT,note,bull
123,123,1802,The huge monster thundered away with a roar,0.41,peele,4.75,0.4999999999999999,CoRT,roar,boo
124,124,1838,The kids ran through the sprinklers on the front lawn,0.89,peele,4.75,0.4999999999999999,CoRT,lawn,gin
125,125,1915,The matador ran when the bull began to charge,0.69,block_baldwin,4.75,0.4999999999999999,CoRT,charge,for
126,126,1948,The musician plucked at the strings of his flatguitar,0.7,peele,4.75,0.4999999999999999,CoRT,flatguitar,cry
127,127,2001,The pirates escaped with a large bag of gold,0.44,peele,4.75,0.4999999999999999,CoRT,gold,bridge
128,128,2120,The squirrel dashed by in order to bury a nut,0.77,peele,4.75,0.4999999999999999,CoRT,nut,wrong
129,129,2172,The thief ran away after taking the woman's purse,0.9,peele,4.75,0.4999999999999999,CoRT,purse,job
130,130,2191,The town flooded after a leak in the dam,0.56,peele,4.25,0.4999999999999999,CoRT,dam,slipped
131,131,2547,"When the building came down, there was a loud crash",0.49,peele,4.25,0.4999999999999999,CoRT,crash,tied
132,132,102,"After receiving a treat, the dog's tail began to wag",0.98,peele,4.25,0.5,CoRT,wag,gun
133,133,117,"After stubbing her toe, the woman let slip a curse",0.37,peele,4.25,0.5,CoRT,curse,ribs
134,134,310,Ben cleaned out his blocked sinuses with a saline solution,0.57,peele,4.25,0.5,CoRT,solution,eggs
135,135,362,Casey didn't go to the movie theater alone,0.45,peele,1.25,0.5,non-CoRT,alone,dog
136,136,370,Charles knew that the woman was out of his league,0.82,peele,1.25,0.5,non-CoRT,league,joy
137,137,446,Drake didn't like eating barbecued meat because of the taste,0.37,peele,1.75,0.5,non-CoRT,taste,curb
138,138,535,"Every morning, Liz would carefully brush her hair",0.64,peele,4.25,0.5,CoRT,hair,wind
139,139,601,"Frustrated with his teammates, Julian stormed off in a huff",0.62,peele,4.25,0.5,CoRT,huff,cancer
140,140,648,He crept into the room without a sound,0.7,block_baldwin,4.25,0.5,CoRT,sound,nail
141,141,688,He was so silly the kids called him a clown,0.66,peele,1.25,0.5,non-CoRT,clown,lab
142,142,697,Heather's young kids were only one and three,0.47,peele,1.25,0.5,non-CoRT,three,badge
143,143,757,Ian's favorite pie was either apple or cherry,0.43,peele,1.25,0.5,non-CoRT,cherry,fun
144,144,814,"In woodshop, Alex smoothed the baseball bat with the sander",0.32,peele,4.75,0.5,CoRT,sander,flatguitar
145,145,819,"Instead of buying a new phone, Shannon replaced the battery",0.36,peele,4.25,0.5,CoRT,battery,gold
146,146,825,Isaac didn't know what her behavior could mean,0.48,peele,1.25,0.5,non-CoRT,mean,said
147,147,831,It is important for swimmers to learn how to float,0.34,peele,1.25,0.5,non-CoRT,float,crop
148,148,835,It seemed like the accident shook her to the core,0.84,peele,1.25,0.5,non-CoRT,core,shook
149,149,839,It was announced the  two companies would merge,0.96,peele,1.25,0.5,non-CoRT,merge,poop
150,150,849,It was too windy so Jen reeled in her kite,0.45,peele,4.75,0.5,CoRT,kite,red
151,151,903,Jill is frustrated by people who are always late,0.73,peele,1.75,0.5,non-CoRT,late,cup
152,152,905,Jim convinced her that it was a bad prank to pull,0.43,peele,1.75,0.5,non-CoRT,pull,heal
153,153,965,Larry's motto was always do what you want,0.5,peele,1.25,0.5,non-CoRT,want,ham
154,154,970,Lee wouldn't get allowance if she didn't finish her chores,0.67,peele,1.25,0.5,non-CoRT,chores,dad
155,155,995,Malcolm wanted to tidy the lawn but had no mower,0.33,peele,1.75,0.5,non-CoRT,mower,nose
156,156,1000,Many people don't recycle even though they should,0.79,peele,1.25,0.5,non-CoRT,should,slept
157,157,1009,Marie pulled out the clothes she wanted to wear,0.76,peele,1.75,0.5,non-CoRT,wear,food
158,158,1023,Mary was upset she spilled coffee on her favorite blouse,0.35,peele,4.75,0.5,CoRT,blouse,vomit
159,159,1093,Nina had no confidence and always expected to fail,0.63,peele,1.25,0.5,non-CoRT,fail,hire
160,160,1159,"Over the summer, Tyler wanted something to do",0.77,peele,1.25,0.5,non-CoRT,do,years
161,161,1193,Rebecca was gullible but she was not stupid,0.72,peele,1.75,0.5,non-CoRT,stupid,break
162,162,1249,She adores rain but doesn't at all like snow,0.42,peele,1.75,0.5,non-CoRT,snow,size
163,163,1309,Shelly wanted to be a scientist working at a lab,0.72,peele,1.25,0.5,non-CoRT,lab,gas
164,164,1326,Some people don't enjoy food and only eat to survive,0.38,peele,1.75,0.5,non-CoRT,survive,tired
165,165,1390,The actress rolled her eyes and left in a huff,0.58,peele,4.75,0.5,CoRT,huff,difficult
166,166,1456,The boat sailed faster after tightly pulling in the sail,0.5,peele,4.75,0.5,CoRT,sail,game
167,167,1493,The building isn't for sale but it's available to rent,0.81,peele,1.25,0.5,non-CoRT,rent,whale
168,168,1540,The children spent hours at the beach making a castle,0.62,peele,4.75,0.5,CoRT,castle,duke
169,169,1550,The college student looked for a summer job,0.76,peele,1.75,0.5,non-CoRT,job,pension
170,170,1560,The company said they were looking to hire,0.37,peele,1.25,0.5,non-CoRT,hire,wanted
171,171,1562,The competitive students were always afraid to lose,0.65,peele,1.25,0.5,non-CoRT,lose,pull
172,172,1564,The confident man believed he was right without a doubt,0.49,peele,1.75,0.5,non-CoRT,doubt,lose
173,173,1573,The cop entered the building and showed his badge,0.92,peele,4.25,0.5,CoRT,badge,reach
174,174,1579,The couple realized they needed new crystal glasses,0.36,peele,1.25,0.5,non-CoRT,glasses,pull
175,175,1619,The details surrounding the crime were extremely vague,0.4,peele,1.25,0.5,non-CoRT,vague,sail
176,176,1658,The email offer for a free car was a scam,0.67,peele,1.25,0.5,non-CoRT,scam,tool
177,177,1777,The guilty children fled to avoid their mother's wrath,0.59,peele,4.25,0.5,CoRT,wrath,fair
178,178,1832,The key to a great burger is good quality meat,0.55,peele,1.75,0.5,non-CoRT,meat,choke
179,179,1902,The man read a book while his wife slept,0.35,peele,1.25,0.5,non-CoRT,slept,should
180,180,1933,The mother had included each child in her will,0.77,peele,1.25,0.5,non-CoRT,will,map
181,181,1969,The officer barged in and quickly flashed his badge,0.81,peele,4.75,0.5,CoRT,badge,has
182,182,1994,The phone call about a free cruise was a scam,0.64,peele,1.75,0.5,non-CoRT,scam,moat
183,183,2042,The range of options on the menu was very limited,0.49,peele,1.75,0.5,non-CoRT,limited,cup
184,184,2080,The scared girl ran upstairs to her bedroom and hid,0.61,peele,4.75,0.5,CoRT,hid,cake
185,185,2116,The soup was extremely hot and burned Matt's tongue,0.74,peele,4.75,0.5,CoRT,tongue,hull
186,186,2140,The student discussed his research proposal with his professor,0.45,peele,1.75,0.5,non-CoRT,professor,boo
187,187,2145,The sugar content in Ivy's cake was too high,0.63,peele,1.25,0.5,non-CoRT,high,robe
188,188,2326,They threw eggs at Barry but he knew to duck,0.75,peele,4.75,0.5,CoRT,duck,Mrcoach
189,189,2355,Timothy was hesitant when he had to make a decision,0.4,peele,1.25,0.5,non-CoRT,decision,hear
190,190,2403,"To learn responsibility, each child should have a chore",0.51,peele,1.25,0.5,non-CoRT,chore,soothe
191,191,2504,When at the fair her kids always have great times,0.45,peele,1.75,0.5,non-CoRT,times,wanted
192,192,2570,"When travelling, tourists like to carry items in a bag",0.48,peele,1.75,0.5,non-CoRT,bag,place
193,193,2628,You should always read it over before signing a contract,0.8,peele,1.25,0.5,non-CoRT,contract,mail
194,194,1884,The little puppy outside the house started to bark,0.36,peele,4.333333333333333,0.5163977794943221,CoRT,bark,rails
195,195,76,After his episode everyone thought the man was crazy,0.54,peele,1.6666666666666667,0.5163977794943222,non-CoRT,crazy,want
196,196,887,Jeff felt like he would never finish at that pace,0.45,peele,1.3333333333333333,0.5163977794943222,non-CoRT,pace,beach
197,197,1432,The baseball player’s cap protected him from the sun,0.74,block_baldwin,1.3333333333333333,0.5163977794943222,non-CoRT,sun,seeds
198,198,2408,To move quickly through the crowd he began to run,0.42,peele,4.333333333333333,0.5163977794943222,CoRT,run,date
199,199,71,"After getting hit by the ball, Tyler started to cry",0.71,peele,4.666666666666667,0.5163977794943223,CoRT,cry,chores
200,200,579,For his interview Mr. Jones needed a new suit,0.72,block_baldwin,1.3333333333333333,0.5163977794943223,non-CoRT,suit,loan
201,201,636,Harrison didn't want to clip the wings of his bird,0.71,peele,1.3333333333333333,0.5163977794943223,non-CoRT,bird,dresses
202,202,649,He didn't like the puppies because they would always bark,0.49,peele,1.6666666666666667,0.5163977794943223,non-CoRT,bark,kite
203,203,710,Her disease created some difficulties but she could manage,0.46,peele,1.3333333333333333,0.5163977794943223,non-CoRT,manage,gas
204,204,928,Judith went to college to learn how to teach,0.42,peele,1.6666666666666667,0.5163977794943223,non-CoRT,teach,sander
205,205,958,Kids don't like that particular fruit because it's sour,0.44,peele,1.3333333333333333,0.5163977794943223,non-CoRT,sour,roof
206,206,1014,Marlena thought Jack's behavior was out of control,0.38,peele,1.3333333333333333,0.5163977794943223,non-CoRT,control,spots
207,207,1021,Mary liked sewing a lot but needed a new machine,0.51,peele,1.3333333333333333,0.5163977794943223,non-CoRT,machine,prince
208,208,1378,The Jones children wanted a house with a large yard,0.6,block_baldwin,1.3333333333333333,0.5163977794943223,non-CoRT,yard,solution
209,209,1483,The bracelet fell off her wrist because it was too big,0.67,block_baldwin,4.333333333333333,0.5163977794943223,CoRT,big,sound
210,210,1507,The car suddenly appeared and Liz wasn't able to stop,0.35,peele,4.333333333333333,0.5163977794943223,CoRT,stop,please
211,211,2162,The teenager was nervous about having to drive,0.34,peele,1.6666666666666667,0.5163977794943223,non-CoRT,drive,taught
212,212,2302,They couldn't talk because it was too hard to hear,0.75,peele,1.6666666666666667,0.5163977794943223,non-CoRT,hear,stop
213,213,2390,To guess the answer she needed a  hint,0.57,block_baldwin,1.6666666666666667,0.5163977794943223,non-CoRT,hint,curse
214,214,2478,What that old house really needs is a new roof,0.4,peele,1.3333333333333333,0.5163977794943223,non-CoRT,roof,ship
215,215,1931,The mother caressed her baby in an attempt to soothe,0.5,peele,4.333333333333333,0.5163977794943224,CoRT,soothe,bed
216,216,1574,The corn farmer felt this year would yield a good crop,0.85,block_baldwin,1.4285714285714286,0.5345224838248488,non-CoRT,crop,dam
217,217,1622,The directions did not match any roads on the map,0.85,block_baldwin,1.4285714285714286,0.5345224838248488,non-CoRT,map,cloth
218,218,2633,Zoos have many animals only found in the wild,0.81,block_baldwin,1.5714285714285714,0.5345224838248488,non-CoRT,wild,sleep
219,219,25,Aaron wrote the lesson on the board with colorful chalk,0.61,peele,4.4,0.547722557505166,CoRT,chalk,mower
220,220,882,Jason fell off his skateboard when he hit the curb,0.34,peele,4.6,0.547722557505166,CoRT,curb,kiss
221,221,1687,The farm worker collected fresh eggs from the chickens,0.41,peele,4.4,0.547722557505166,CoRT,chickens,bull
222,222,1817,The incubated egg soon hatched into a baby chick,0.51,peele,4.5,0.547722557505166,CoRT,chick,nail
223,223,2002,The pitbull was so strong that he snapped the leash,0.31,peele,4.4,0.547722557505166,CoRT,leash,puff
224,224,2186,The toddler stumbled forward and grabbed the bottle of milk,0.63,peele,4.6,0.547722557505166,CoRT,milk,control
225,225,2623,Worship began after the monk sounded the bell,0.51,peele,4.6,0.547722557505166,CoRT,bell,year
226,226,95,"After moving jobs, Jim wasn't sure where to live",0.35,peele,1.4,0.5477225575051661,non-CoRT,live,joke
227,227,198,"An expert in hiding, the thief was hard to find",0.6,peele,1.5,0.5477225575051661,non-CoRT,find,hid
228,228,279,Barry said that accounting work was no fun,0.35,peele,1.4,0.5477225575051661,non-CoRT,fun,cart
229,229,354,Cameron cleaned the spilled milk with a clean cloth,0.33,peele,4.6,0.5477225575051661,CoRT,cloth,cry
230,230,495,Dustin's score was much lower than what he had expected,0.33,peele,1.4,0.5477225575051661,non-CoRT,expected,dogs
231,231,556,"Exiting the pool, the children were so cold they shivered",0.87,peele,4.4,0.5477225575051661,CoRT,shivered,mile
232,232,618,Grace didn't like eating foods with a lot of salt,0.39,peele,1.4,0.5477225575051661,non-CoRT,salt,sick
233,233,660,He knew about the prank they were trying to pull,0.8,peele,1.4,0.5477225575051661,non-CoRT,pull,bat
234,234,719,Her left hand was freezing after she lost her glove,0.8,peele,4.4,0.5477225575051661,CoRT,glove,shivered
235,235,866,Jake hated the game and he said it wasn't fair,0.44,peele,1.4,0.5477225575051661,non-CoRT,fair,salt
236,236,964,Kyle carefully scooped the honey out of the jar,0.5,peele,4.6,0.5477225575051661,CoRT,jar,snow
237,237,1015,"Married to a duchess, Max earned the title of duke",0.88,peele,1.6,0.5477225575051661,non-CoRT,duke,survive
238,238,1160,"Over the summer, the boys went swimming at the lake",0.5,peele,4.4,0.5477225575051661,CoRT,lake,bruise
239,239,1166,Patrick did not think Kayla was worth fighting for,0.8,peele,1.4,0.5477225575051661,non-CoRT,for,will
240,240,1207,Robert reached into the cabinet for a bottle of wine,0.32,peele,4.6,0.5477225575051661,CoRT,wine,hive
241,241,1273,She learned that the waves depended on the moon,0.36,peele,1.4,0.5477225575051661,non-CoRT,moon,cry
242,242,1338,Spaghetti is the girl's favorite type of food,0.49,peele,1.6,0.5477225575051661,non-CoRT,food,relax
243,243,1356,Summer vacation is a time to lounge around and relax,0.62,peele,1.5,0.5477225575051661,non-CoRT,relax,dare
244,244,1367,Terry thought the shirt was bland because it was white,0.44,peele,1.4,0.5477225575051661,non-CoRT,white,search
245,245,1425,The baby's face puckered when she ate something sour,0.94,peele,4.5,0.5477225575051661,CoRT,sour,sew
246,246,1595,The crowd became rowdy after drinking too much sweet wine,0.32,peele,4.6,0.5477225575051661,CoRT,wine,cry
247,247,1718,The fisherman easily put the bait on the hook,0.93,peele,4.4,0.5477225575051661,CoRT,hook,hole
248,248,1852,The landscaper cleared the lawn of leaves with the rake,0.54,peele,4.6,0.5477225575051661,CoRT,rake,teach
249,249,1869,The lion wasn't fullcub,0.86,peele,1.4,0.5477225575051661,non-CoRT,fullcub,walls
250,250,2148,The sweater was not worn much because it collected lint,0.53,block_baldwin,1.5,0.5477225575051661,non-CoRT,lint,laugh
