,full_sentence,last_word,answer,CoRT_descript,cloze_descript,block_num,cause_effect,dynamic_verb,orientation,negative,tense,spelling_modified,display,break,index,cloze_probability,dataset,CoRT_mean,CoRT_std,target_word,random_word,word_count,condition_name,sampled,hand,iti_dur,start_time,trial_dur,ShowProgressBar,iti_dur_ms,trial_dur_ms,randomise_blocks
10,The|teacher|wrote|the|problem|on|the,game,FALSE,strong CoRT,high cloze,0,no,yes,person,no,present,no,trial,,9,0.94,block_baldwin,4.142857143,1.463850109,board,game,7,easy,TRUE,right,0.5,30,7,1,500,7000,
11,Everyone|on|the|cruise|gasped|and|pointed|out|the|massive,war,FALSE,strong CoRT,low cloze,0,yes,yes,group,no,past,no,trial,,10,0.49,peele,4.8,0.4472135955,whale,war,10,hard,TRUE,right,0.5,75,7,1,500,7000,
12,When|she|lost|her|doll|the|girl|began|to,cry,TRUE,strong CoRT,high cloze,0,yes,yes,person,no,past,no,trial,,11,0.84,peele,4.333333333,0.8164965809,cry,music,9,easy,FALSE,right,0.5,37.5,7,1,500,7000,
13,Sharon|majored|in|Education|to|learn|how|to,teach,TRUE,strong non-CoRT,high cloze,0,yes,yes,person,no,past,no,trial,,12,0.95,peele,1,0,teach,tea,8,easy,FALSE,right,0.5,127.5,7,1,500,7000,
14,The|janitor|accidentally|spilled|some|water|on|the,neat,FALSE,strong CoRT,high cloze,0,no,yes,person,no,past,no,trial,,13,0.88,block_baldwin,4.142857143,1.463850109,floor,neat,8,easy,TRUE,right,0.5,7.5,7,1,500,7000,
15,The|committed|scientist|spent|hours|working|in|the,lab,TRUE,strong CoRT,high cloze,0,no,yes,person,no,past,no,trial,,14,0.88,peele,4,0.8164965809,lab,beach,8,easy,FALSE,right,0.5,15,7,1,500,7000,
16,Andrea|watered|her|garden|with|a|small,bear,FALSE,strong CoRT,low cloze,0,no,yes,person,no,past,no,trial,,15,0.45,peele,4.4,0.894427191,hose,bear,7,hard,TRUE,right,0.5,52.5,7,1,500,7000,
17,Yolanda|wants|a|great|job|so|she|can|get,rich,TRUE,strong non-CoRT,low cloze,0,yes,no,person,no,present,no,trial,,16,0.37,peele,1.8,1.788854382,rich,pay,9,hard,FALSE,right,0.5,150,7,1,500,7000,
18,Isaac|didn't|know|what|her|behavior|could,view,FALSE,strong non-CoRT,low cloze,0,no,no,person,no,past,no,trial,,17,0.48,peele,1.25,0.5,mean,view,7,hard,TRUE,right,0.5,142.5,7,1,500,7000,
19,Malcolm|wanted|to|tidy|the|lawn|but|had|no,mower,TRUE,strong non-CoRT,low cloze,0,yes,yes,person,no,past,no,trial,,18,0.33,peele,1.75,0.5,mower,gloves,9,hard,FALSE,right,0.5,135,7,1,500,7000,
20,The|passengers|feared|capsizing|when|the|ship|began|to,rock,TRUE,strong CoRT,low cloze,0,yes,yes,group,no,past,no,trial,,19,0.36,peele,4.2,0.8366600265,rock,sit,9,hard,FALSE,right,0.5,82.5,7,1,500,7000,
21,The|young|woman|had|a|very|recognizable,face,TRUE,strong non-CoRT,low cloze,0,no,no,person,no,past,no,trial,,20,0.44,peele,1.6,0.894427191,face,hurry,7,hard,FALSE,right,0.5,172.5,7,1,500,7000,
22,The|diving|board|was|scary|because|it|was|so,beige,FALSE,strong non-CoRT,high cloze,0,yes,no,object,no,past,no,trial,,21,0.82,block_baldwin,1.857142857,1.573591585,high,beige,9,easy,TRUE,right,0.5,97.5,7,1,500,7000,
23,The|boxer|knew|that|tonight|he|had|to,win,TRUE,strong non-CoRT,high cloze,0,no,no,person,no,past,no,trial,,22,0.86,peele,2,1,win,bag,8,easy,FALSE,right,0.5,112.5,7,1,500,7000,
24,Visitors|at|the|medieval|festival|drank|honey,mead,TRUE,strong CoRT,low cloze,0,no,yes,group,no,past,no,trial,,23,0.35,peele,4,1.154700538,mead,ink,7,hard,FALSE,right,0.5,60,7,1,500,7000,
0,,,,,,,,,,,,,break,# End of Practice. You got $${percent_correct}% correct! You are now going to start the experiment!,,,,,,,,,,,,,,,,,,
1,The|castle|was|protected|by|its|stone,tire,FALSE,strong non-CoRT,high cloze,1,no,no,object,no,past,no,trial,,0,0.86,block_baldwin,1.142857143,0.377964473,walls,tire,7,easy,TRUE,right,0.5,270,7,1,500,7000,1
2,"She|didn't|give|him|a|long|kiss,|just|a",water,FALSE,strong CoRT,high cloze,1,no,yes,person,yes,past,no,trial,,1,0.87,peele,4,0,peck,water,9,easy,TRUE,right,0.5,0,7,1,500,7000,1
3,All|the|professional|athlete|wanted|was|a|back,rub,TRUE,strong non-CoRT,low cloze,1,no,no,person,no,past,no,trial,,2,0.38,peele,2,1,rub,tent,8,hard,FALSE,right,0.5,375,7,1,500,7000,1
4,"Lately,|Sam|has|felt|like|he|is|in|a",rut,TRUE,strong non-CoRT,low cloze,1,no,no,person,no,present,no,trial,,3,0.43,peele,1.8,0.8366600265,rut,flip,9,hard,FALSE,right,0.5,442.5,7,1,500,7000,1
5,"Before|descending|the|canyon,|we|hiked|the",trail,TRUE,strong CoRT,low cloze,1,yes,yes,group,no,past,yes,trial,,4,0.41,peele,4,1.154700538,trail,dress,7,hard,FALSE,right,0.5,172.5,7,1,500,7000,1
6,Clay|refused|to|settle|down|and|buy|his|own,scared,FALSE,strong non-CoRT,low cloze,1,no,yes,person,no,past,no,trial,,5,0.47,peele,1.8,0.8366600265,house,scared,9,hard,TRUE,right,0.5,390,7,1,500,7000,1
7,The|patient's|broken|arm|took|awhile|to,heal,TRUE,strong non-CoRT,high cloze,1,no,no,object,no,past,no,trial,,6,0.88,peele,1.8,0.8366600265,heal,shiver,7,easy,FALSE,right,0.5,262.5,7,1,500,7000,1
8,"After|Grace|slipped|on|the|floor,|she|bought|a",wind,FALSE,strong CoRT,low cloze,1,yes,yes,person,no,past,no,trial,,7,0.45,peele,4,1.414213562,rug,wind,9,hard,TRUE,right,0.5,210,7,1,500,7000,1
9,The|tourists|enjoyed|looking|at|the|scenic,joke,FALSE,strong non-CoRT,low cloze,1,no,yes,group,no,past,no,trial,,8,0.39,peele,1.75,0.9574271078,view,joke,7,hard,TRUE,right,0.5,397.5,7,1,500,7000,1
10,I|had|no|key|to|open|the|locked,work,FALSE,strong non-CoRT,high cloze,1,yes,yes,person,yes,past,no,trial,,9,0.89,block_baldwin,2,1.154700538,door,work,8,easy,TRUE,right,0.5,240,7,1,500,7000,1
11,When|the|alarm|rang|the|firefighter|slid|down|the,pole,TRUE,strong CoRT,high cloze,1,yes,yes,person,no,past,no,trial,,10,0.94,block_baldwin,4.428571429,1.511857892,pole,thief,9,easy,FALSE,right,0.5,7.5,7,1,500,7000,1
12,"When|the|building|came|down,|there|was|a|loud",crash,TRUE,strong CoRT,low cloze,1,yes,yes,object,no,past,no,trial,,11,0.49,peele,4.25,0.5,crash,port,9,hard,FALSE,right,0.5,225,7,1,500,7000,1
13,Although|Keith|bowled|well|he|did|not|have|the|highest,score,TRUE,strong non-CoRT,high cloze,1,yes,yes,person,yes,past,no,trial,,12,0.94,block_baldwin,2,1.154700538,score,limited,10,easy,FALSE,right,0.5,345,7,1,500,7000,1
14,At|recess|the|younger|children|usually|play,tag,TRUE,strong CoRT,low cloze,1,no,yes,group,no,present,no,trial,,13,0.42,peele,4.2,0.8366600265,tag,knot,7,hard,FALSE,right,0.5,202.5,7,1,500,7000,1
15,The|boy|screamed|after|he|was|stung|by|a,cheer,FALSE,strong CoRT,high cloze,1,yes,yes,person,no,past,no,trial,,14,0.81,peele,4.2,0.8366600265,bee,cheer,9,easy,TRUE,right,0.5,67.5,7,1,500,7000,1
16,Ellen|replaced|the|fuse|that|no|longer,worked,TRUE,strong CoRT,high cloze,1,no,yes,person,no,past,no,trial,,15,0.86,block_baldwin,4.142857143,0.8997354108,worked,bite,7,easy,FALSE,right,0.5,75,7,1,500,7000,1
17,"When|the|two|met,|one|of|them|held|out|his",hand,TRUE,strong CoRT,high cloze,1,yes,yes,group,no,past,no,trial,,16,0.95,block_baldwin,4,1,hand,choke,10,easy,FALSE,right,0.5,97.5,7,1,500,7000,1
18,There|is|a|bit|of|cyanide|in|each|apple,horse,FALSE,strong non-CoRT,low cloze,1,no,no,object,no,present,no,trial,,17,0.48,peele,2,1.414213562,seed,horse,9,hard,TRUE,right,0.5,450,7,1,500,7000,1
19,Kyle|carefully|scooped|the|honey|out|of|the,jar,TRUE,strong CoRT,low cloze,1,no,yes,person,no,past,no,trial,,18,0.5,peele,4.6,0.5477225575,jar,sit,8,hard,FALSE,right,0.5,217.5,7,1,500,7000,1
20,She|did|not|have|the|right|key|for|the,lock,TRUE,strong non-CoRT,low cloze,1,no,no,person,yes,past,no,trial,,19,0.44,block_baldwin,1.166666667,0.4082482905,lock,blood,9,hard,FALSE,right,0.5,405,7,1,500,7000,1
21,"During|the|earthquake,|many|of|the|small|buildings",collapsed,TRUE,strong CoRT,low cloze,1,yes,no,object,no,past,no,trial,,20,0.39,peele,4,0,collapsed,fit,8,hard,FALSE,right,0.5,127.5,7,1,500,7000,1
22,The|crazy|old|lady|was|thought|of|as|a,witch,TRUE,strong non-CoRT,low cloze,1,no,no,person,no,past,no,trial,,21,0.45,peele,1.666666667,1.211060142,witch,alive,9,hard,FALSE,right,0.5,465,7,1,500,7000,1
23,The|building|isn't|for|sale|but|it's|available|to,mold,FALSE,strong non-CoRT,high cloze,1,no,no,object,yes,present,no,trial,,22,0.81,peele,1.25,0.5,rent,mold,9,easy,TRUE,right,0.5,330,7,1,500,7000,1
24,Ian's|favorite|pie|was|either|apple|or,mail,FALSE,strong non-CoRT,low cloze,1,no,no,object,no,present,no,trial,,23,0.43,peele,1.25,0.5,cherry,mail,7,hard,TRUE,right,0.5,427.5,7,1,500,7000,1
25,Bill|jumped|in|the|lake|and|made|a|big,wife,FALSE,strong CoRT,high cloze,1,yes,yes,person,no,past,no,trial,,24,0.92,block_baldwin,4.857142857,0.377964473,splash,wife,9,easy,TRUE,right,0.5,90,7,1,500,7000,1
26,"To|avoid|hitting|her|head,|she|had|to",duck,TRUE,strong CoRT,high cloze,1,yes,yes,person,yes,past,no,trial,,25,0.85,peele,4.5,0.5773502692,duck,deed,8,easy,FALSE,right,0.5,105,7,1,500,7000,1
27,Everyone|thought|the|pasta|dish|needed|more,salt,TRUE,strong non-CoRT,low cloze,1,no,no,group,no,past,no,trial,,26,0.31,peele,2,0.7071067812,salt,purse,7,hard,FALSE,right,0.5,457.5,7,1,500,7000,1
28,The|rambunctious|dog|pulled|and|tugged|against|the,bake,FALSE,strong CoRT,low cloze,1,no,yes,animal,no,past,no,trial,,27,0.49,peele,5,0,leash,bake,8,hard,TRUE,right,0.5,120,7,1,500,7000,1
29,"After|washing|his|hands,|Brandon|dried|them|with|a",towel,TRUE,strong CoRT,high cloze,1,yes,yes,person,no,past,no,trial,,28,0.96,peele,4,0.8164965809,towel,dam,9,easy,FALSE,right,0.5,15,7,1,500,7000,1
30,Marcus|struggled|to|build|a|birdhouse|even|with|the,real,FALSE,strong CoRT,low cloze,1,no,yes,person,no,past,no,trial,,29,0.39,peele,4.8,0.4472135955,instructions,real,9,hard,TRUE,right,0.5,187.5,7,1,500,7000,1
31,"The|simple,|fun|camp|game|soon|escalated|into|a",fight,TRUE,strong CoRT,low cloze,1,no,yes,object,no,past,no,trial,,30,0.5,peele,4.4,0.5477225575,fight,lawn,9,hard,FALSE,right,0.5,142.5,7,1,500,7000,1
32,His|favorite|place|to|relax|is|on|the,fin,FALSE,strong non-CoRT,low cloze,1,no,yes,object,no,present,no,trial,,31,0.41,peele,1.4,0.5477225575,beach,fin,8,hard,TRUE,right,0.5,360,7,1,500,7000,1
33,Ana|accidentally|tripped|and|fell|down|the,stairs,TRUE,strong CoRT,high cloze,1,yes,yes,person,no,past,no,trial,,32,0.88,block_baldwin,4.285714286,1.496026483,stairs,rock,7,easy,FALSE,right,0.5,45,7,1,500,7000,1
34,The|woman's|earring|was|a|small|silver,hoop,TRUE,strong non-CoRT,low cloze,1,no,no,object,no,past,no,trial,,33,0.32,peele,1.8,1.095445115,hoop,curse,7,hard,FALSE,right,0.5,412.5,7,1,500,7000,1
35,He|blew|out|his|cigarette|smoke|in|a|small,puff,TRUE,strong CoRT,low cloze,1,no,yes,person,no,past,no,trial,,34,0.34,peele,4.75,0.5,puff,pipe,9,hard,FALSE,right,0.5,180,7,1,500,7000,1
36,Jenny|lit|the|candles|on|the|birthday,said,FALSE,strong CoRT,high cloze,1,no,yes,person,no,past,no,trial,,35,0.94,block_baldwin,4.285714286,1.496026483,cake,said,7,easy,TRUE,right,0.5,37.5,7,1,500,7000,1
37,"According|to|the|Bible,|murder|is|a",sin,TRUE,strong non-CoRT,high cloze,1,no,no,object,no,present,no,trial,,36,0.96,peele,2,0.8164965809,sin,hoop,7,easy,FALSE,right,0.5,315,7,1,500,7000,1
38,Don't|believe|everything|you,hear,TRUE,strong non-CoRT,high cloze,1,no,no,object,no,present,no,trial,,37,0.82,block_baldwin,1.571428571,1.133893419,hear,pot,4,easy,FALSE,right,0.5,247.5,7,1,500,7000,1
39,Patrick|did|not|think|Kayla|was|worth|fighting,music,FALSE,strong non-CoRT,high cloze,1,no,yes,person,yes,past,no,trial,,38,0.8,peele,1.4,0.5477225575,for,music,8,easy,TRUE,right,0.5,307.5,7,1,500,7000,1
40,Sally|heard|that|our|new|teacher|was|impossible|to,please,TRUE,strong non-CoRT,low cloze,1,no,yes,person,no,past,no,trial,,39,0.48,peele,1.2,0.4472135955,please,joke,9,hard,FALSE,right,0.5,435,7,1,500,7000,1
41,After|the|recital|she|faced|the|audience|and|took|a,float,FALSE,strong CoRT,high cloze,1,yes,yes,person,no,past,no,trial,,40,0.89,block_baldwin,4.142857143,1.069044968,bow,float,10,easy,TRUE,right,0.5,30,7,1,500,7000,1
42,Kennedy|told|her|mom|she|felt|stuck|in|a,rut,TRUE,strong non-CoRT,high cloze,1,no,yes,person,no,past,no,trial,,41,0.87,peele,2,1,rut,dive,9,easy,FALSE,right,0.5,285,7,1,500,7000,1
43,"After|driving|over|sharp|glass,|Ronald|had|a|flat",tire,TRUE,strong CoRT,high cloze,1,yes,yes,person,no,past,no,trial,,42,1,peele,4.4,0.894427191,tire,loan,9,easy,FALSE,right,0.5,22.5,7,1,500,7000,1
44,It|was|announced|that|the|two|companies|would,merge,TRUE,strong non-CoRT,high cloze,1,no,yes,object,no,past,yes,trial,,43,0.96,peele,1.25,0.5,merge,cry,9,easy,FALSE,right,0.5,292.5,7,1,500,7000,1
45,During|the|holidays|it|is|very|expensive|to|book|a,meditate,FALSE,strong non-CoRT,high cloze,1,no,yes,object,no,present,yes,trial,,44,0.81,block_baldwin,1.857142857,0.8997354108,flight,meditate,10,easy,TRUE,right,0.5,277.5,7,1,500,7000,1
46,"After|the|engine|took|on|water,|the|car|began|to",hair,FALSE,strong CoRT,low cloze,1,yes,yes,object,no,past,yes,trial,,45,0.37,block_baldwin,4,0.632455532,stall,hair,10,hard,TRUE,right,0.5,150,7,1,500,7000,1
47,"To|enter|the|castle,|she|rode|across|a",bridge,TRUE,strong CoRT,low cloze,1,yes,yes,person,no,past,yes,trial,,46,0.4,peele,4.5,0.5773502692,bridge,fit,8,hard,FALSE,right,0.5,195,7,1,500,7000,1
48,France|is|a|country|that|is|famous|for,wine,TRUE,strong non-CoRT,low cloze,1,no,no,object,no,present,no,trial,,47,0.31,peele,2,1.732050808,wine,cave,8,hard,FALSE,right,0.5,382.5,7,1,500,7000,1
49,Tammy|was|not|a|gambler|because|she|had|bad,luck,TRUE,strong non-CoRT,high cloze,1,yes,no,person,yes,past,no,trial,,48,0.86,block_baldwin,1.857142857,1.463850109,luck,cut,9,easy,FALSE,right,0.5,352.5,7,1,500,7000,1
50,"Instead|of|buying|a|new|phone,|Shannon|replaced|the",fool,FALSE,strong CoRT,low cloze,1,yes,yes,person,no,past,no,trial,,49,0.36,peele,4.25,0.5,battery,fool,9,hard,TRUE,right,0.5,157.5,7,1,500,7000,1
51,His|car|is|huge|so|it's|too|heavy|to,push,TRUE,strong non-CoRT,low cloze,1,yes,no,object,no,present,no,trial,,50,0.44,peele,2,1.224744871,push,cold,9,hard,FALSE,right,0.5,420,7,1,500,7000,1
52,"Tired|of|beige|walls,|Ingrid|painted|them|a|bold",red,TRUE,strong CoRT,low cloze,1,yes,yes,person,no,past,no,trial,,51,0.38,peele,4.4,0.894427191,red,chirp,9,hard,FALSE,right,0.5,232.5,7,1,500,7000,1
53,Weddings|bring|out|excitement|and|general|feelings|of,joy,TRUE,strong non-CoRT,low cloze,1,no,no,object,no,present,no,trial,,52,0.34,peele,1.166666667,0.4082482905,joy,bully,8,hard,FALSE,right,0.5,367.5,7,1,500,7000,1
54,The|gas|station|is|about|two|miles|down|the,road,TRUE,strong non-CoRT,high cloze,1,no,no,object,no,present,no,trial,,53,0.88,block_baldwin,1,0,road,late,9,easy,FALSE,right,0.5,255,7,1,500,7000,1
55,The|boat|passed|easily|under|the,bridge,TRUE,strong CoRT,high cloze,1,no,yes,object,no,past,no,trial,,54,0.89,block_baldwin,4,1.414213562,bridge,lodge,6,easy,FALSE,right,0.5,52.5,7,1,500,7000,1
56,The|company|said|they|were|looking|to,hire,TRUE,strong non-CoRT,low cloze,1,no,yes,object,no,past,no,trial,,55,0.37,peele,1.25,0.5,hire,leak,7,hard,FALSE,right,0.5,472.5,7,1,500,7000,1
57,He|loosened|the|tie|around|his,neck,TRUE,strong CoRT,high cloze,1,no,yes,object,no,past,no,trial,,56,0.97,block_baldwin,4.428571429,1.511857892,neck,win,6,easy,FALSE,right,0.5,82.5,7,1,500,7000,1
58,A|stray|baseball|smacked|an|unsuspecting|walker|in|the,head,TRUE,strong CoRT,low cloze,1,no,yes,object,no,past,no,trial,,57,0.45,peele,4.2,0.8366600265,head,queen,9,hard,FALSE,right,0.5,135,7,1,500,7000,1
59,The|woman’s|shirt|was|so|worn|it|had|a,hole,TRUE,strong non-CoRT,high cloze,1,no,no,object,no,past,no,trial,,58,0.86,block_baldwin,1.571428571,1.511857892,hole,pencil,9,easy,FALSE,right,0.5,322.5,7,1,500,7000,1
60,"When|the|robber|trapped|Dorothy,|she|began|to",cry,TRUE,strong CoRT,low cloze,1,yes,yes,person,no,past,no,trial,,59,0.37,peele,4.333333333,0.8164965809,cry,glass,8,hard,FALSE,right,0.5,165,7,1,500,7000,1
61,Charles|dunked|the|basketball|through|the,hoop,TRUE,strong CoRT,high cloze,1,no,yes,person,no,past,no,trial,,60,0.87,block_baldwin,4.428571429,1.511857892,hoop,will,6,easy,FALSE,right,0.5,60,7,1,500,7000,1
63,Dean|dropped|the|cookies|and|had|to|make|a|fresh,batch,TRUE,strong CoRT,high cloze,1,yes,yes,person,no,past,no,trial,,62,0.95,peele,4.8,0.4472135955,batch,gap,10,easy,FALSE,right,0.5,112.5,7,1,500,7000,1
64,After|missing|lunch|Harry|badly|needed|some,food,TRUE,strong non-CoRT,high cloze,1,yes,yes,person,no,past,no,trial,,63,0.84,peele,2,1.414213562,food,fall,7,easy,FALSE,right,0.5,300,7,1,500,7000,1
62,The|elementary|school|girl|loved|to|hula,hoop,TRUE,strong non-CoRT,high cloze,1,no,no,person,no,past,no,trial,,61,0.83,peele,1.8,0.8366600265,hoop,soon,7,easy,FALSE,right,0.5,337.5,7,1,500,7000,1
65,,,,,,,,,,,,,break,# Well done! You got $${percent_correct}% correct!,,,,,,,,,,,,,,,,,,
0,The|teacher|was|afraid|of|germs|and|getting,mutt,FALSE,strong non-CoRT,high cloze,2,no,yes,person,no,past,no,trial,,0,0.92,peele,1.8,1.303840481,sick,mutt,8,easy,TRUE,right,0.5,270,7,1,500,7000,2
1,The|man|presented|his|new|fiancée|with|an|expensive,due,FALSE,strong CoRT,high cloze,2,no,yes,person,no,past,no,trial,,1,0.81,block_baldwin,4,1.414213562,ring,due,9,easy,TRUE,right,0.5,0,7,1,500,7000,2
2,Andrew's|favorite|type|of|fruit|is|the,apple,TRUE,strong non-CoRT,low cloze,2,no,no,object,no,present,no,trial,,2,0.31,peele,1.666666667,0.5773502692,apple,fuss,7,hard,FALSE,right,0.5,375,7,1,500,7000,2
3,The|vacuum's|defects|affected|its|ability|to,clean,TRUE,strong non-CoRT,low cloze,2,no,yes,object,no,past,no,trial,,3,0.38,peele,1,0,clean,year,7,hard,FALSE,right,0.5,442.5,7,1,500,7000,2
4,Rachel|missed|her|appointment|after|writing|down|the|wrong,address,TRUE,strong CoRT,low cloze,2,yes,yes,person,no,past,no,trial,,4,0.36,peele,4,1,address,charge,9,hard,FALSE,right,0.5,172.5,7,1,500,7000,2
5,"For|a|runner,|Ted|is|rather",hook,FALSE,strong non-CoRT,low cloze,2,yes,no,person,no,present,yes,trial,,5,0.5,block_baldwin,1.833333333,1.169045194,slow,hook,6,hard,TRUE,right,0.5,390,7,1,500,7000,2
6,Jamie|preferred|to|use|cooking|foil|made|of,aluminum,TRUE,strong non-CoRT,high cloze,2,no,yes,person,no,past,no,trial,,6,0.81,peele,1.5,1,aluminum,gang,8,easy,FALSE,right,0.5,262.5,7,1,500,7000,2
7,"In|woodshop,|Alex|smoothed|the|baseball|bat|with|the",lettuce,FALSE,strong CoRT,low cloze,2,yes,yes,person,no,past,no,trial,,7,0.32,peele,4.75,0.5,sander,lettuce,9,hard,TRUE,right,0.5,210,7,1,500,7000,2
8,Spaghetti|is|the|girl's|favorite|type|of,tang,FALSE,strong non-CoRT,low cloze,2,no,no,object,no,present,no,trial,,8,0.49,peele,1.6,0.5477225575,food,tang,7,hard,TRUE,right,0.5,397.5,7,1,500,7000,2
9,"John|felt|sorry,|but|it|was|not|his",brake,FALSE,strong non-CoRT,high cloze,2,no,no,person,no,past,no,trial,,9,0.91,block_baldwin,1.714285714,1.496026483,fault,brake,8,easy,TRUE,right,0.5,240,7,1,500,7000,2
10,"After|she|bought|the|dress,|she|ripped|off|its",tag,TRUE,strong CoRT,high cloze,2,yes,yes,person,no,past,yes,trial,,10,0.81,peele,4.8,0.4472135955,tag,smart,9,easy,FALSE,right,0.5,7.5,7,1,500,7000,2
11,"The|toddler|enjoyed|feeding|bread|to|the|fat,|white",duck,TRUE,strong CoRT,low cloze,2,no,yes,person,no,past,no,trial,,11,0.5,peele,4.5,0.5773502692,duck,lobe,9,hard,FALSE,right,0.5,225,7,1,500,7000,2
12,Spring|was|Jo’s|favorite|season|of|the,year,TRUE,strong non-CoRT,high cloze,2,no,no,object,no,past,no,trial,,12,0.94,block_baldwin,1.428571429,1.133893419,year,witch,7,easy,FALSE,right,0.5,345,7,1,500,7000,2
13,The|baby's|ice|cream|was|snatched|up|by|the,dog,TRUE,strong CoRT,low cloze,2,no,yes,object,no,past,no,trial,,13,0.47,peele,4.5,0.5773502692,dog,time,9,hard,FALSE,right,0.5,202.5,7,1,500,7000,2
14,The|farmer|spends|the|morning|milking|his,legs,FALSE,strong CoRT,high cloze,2,no,yes,person,no,present,yes,trial,,14,0.94,block_baldwin,4.285714286,1.496026483,cows,legs,7,easy,TRUE,right,0.5,67.5,7,1,500,7000,2
15,The|thief|ran|by|and|snatched|the|lady’s,purse,TRUE,strong CoRT,high cloze,2,yes,yes,person,no,past,no,trial,,15,0.87,block_baldwin,4.428571429,1.511857892,purse,gym,8,easy,FALSE,right,0.5,75,7,1,500,7000,2
16,She|threw|away|the|old|paper|in|the,trash,TRUE,strong CoRT,high cloze,2,no,yes,person,no,past,no,trial,,16,0.89,block_baldwin,4.142857143,1.463850109,trash,knot,8,easy,FALSE,right,0.5,97.5,7,1,500,7000,2
17,They|believe|the|most|pious|man|is|the,blanket,FALSE,strong non-CoRT,low cloze,2,no,no,group,no,present,no,trial,,17,0.38,peele,2,1.414213562,pope,blanket,8,hard,TRUE,right,0.5,450,7,1,500,7000,2
18,"After|returning|home,|Sharon|hung|her|jacket|on|the",hook,TRUE,strong CoRT,low cloze,2,yes,yes,person,no,past,no,trial,,18,0.43,peele,4.8,0.4472135955,hook,live,9,hard,FALSE,right,0.5,217.5,7,1,500,7000,2
19,Meg|hated|that|cleaning|the|bathroom|was|her,chore,TRUE,strong non-CoRT,low cloze,2,no,yes,person,no,past,no,trial,,19,0.47,peele,1.75,0.9574271078,chore,do,8,hard,FALSE,right,0.5,405,7,1,500,7000,2
20,The|captain|steered|the|ship|and|narrowly|avoided|the,iceberg,TRUE,strong CoRT,low cloze,2,yes,yes,person,no,past,no,trial,,20,0.34,peele,4.75,0.5,iceberg,arm,9,hard,FALSE,right,0.5,127.5,7,1,500,7000,2
21,Many|women|are|very|conscious|of|their,weight,TRUE,strong non-CoRT,low cloze,2,no,no,group,no,present,no,trial,,21,0.32,peele,1.4,0.5477225575,weight,choke,7,hard,FALSE,right,0.5,465,7,1,500,7000,2
22,The|little|girl|was|very|afraid|of|the,leg,FALSE,strong non-CoRT,high cloze,2,no,no,person,no,past,no,trial,,22,0.81,block_baldwin,1.857142857,1.069044968,dark,leg,8,easy,TRUE,right,0.5,330,7,1,500,7000,2
23,The|villagers|had|never|ventured|out|of|the,stare,FALSE,strong non-CoRT,low cloze,2,no,yes,group,yes,past,no,trial,,23,0.32,peele,1.2,0.4472135955,village,stare,8,hard,TRUE,right,0.5,427.5,7,1,500,7000,2
